Capacity (MW),,,"Count ""off"" Init (h)",,,"Count ""on"" Init (h)",,,No Load Cost ($),,,,,,Ramp Up Limit (MW/h),,,,,,Ramp Down Limit (MW/h),,,,,,Min. Down Time (h),,,,,,Min. Up Time (h),,,,,,Min. Output (MW),,,,,,Output at t=0 (MW),,,Cost ($/MW):,,,,,,,,Output Block (MW):,,,,,Start-up Cost ($):,,,,,,,,Start-up Blocks (h):,,,,,,,,,,,,,,,,,Start-up Cost($),
,column1,,,column1,,,column1,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,tr1,tr2,tr3,tr4,,,column1,,,,,tr1,tr2,tr3,tr4,,,b1,b2,b3,,,,,tr1,tr2,tr3,tr4,,,j1,j2,j3,j4,j5,j6,j7,j8,,,,,,,StartUp,,,Column1
i59,50,,i59,900,,i59,0,,i59,626.127,101.4,626.127,626.127,,i59,120,38.5,38.5,38.5,,i59,120,80,80,80,,i59,1,1,1,1,,i59,2,2,2,2,,i59,26,12,12,12,,i59,0,,i20,.,b2,24.5249,11.663,24.5249,24.5249,,i59,16.66666667,16.66666667,16.66666667,,i8,.,j3,57.71428571,421.4571429,57.71428571,57.71428571,,i59,1,2,3,4,5,6,7,8,,i59,,,57.71428571,0,0,,i59,51.42857143
i60,50,,i60,0,,i60,900,,i60,626.087,101.5,626.087,626.087,,i60,120,38.5,38.5,38.5,,i60,120,80,80,80,,i60,1,1,1,1,,i60,2,2,2,2,,i60,26,12,12,12,,i60,50,,i20,.,b3,25.2402,11.974,25.2402,25.2402,,i60,16.66666667,16.66666667,16.66666667,,i8,.,j4,64.57142857,468.2857143,64.57142857,64.57142857,,i60,1,2,3,4,5,6,7,8,,i60,,,64.57142857,0,0,,i60,51.42857143
i61,50,,i61,0,,i61,900,,i61,626.107,101.6,626.107,626.107,,i61,120,38.5,38.5,38.5,,i61,120,80,80,80,,i61,1,1,1,1,,i61,2,2,2,2,,i61,26,12,12,12,,i61,50,,i21,.,b1,23.8196,11.387,23.8196,23.8196,,i61,16.66666667,16.66666667,16.66666667,,i8,.,j5,71.42857143,515.1142857,71.42857143,71.42857143,,i61,1,2,3,4,5,6,7,8,,i61,,,71.42857143,0,0,,i61,51.42857143
i62,155,,i62,0,,i62,900,,i62,415.537,124.02,415.537,415.537,,i62,70,55,55,55,,i62,80,78,78,78,,i62,16,3,16,3,,i62,24,5,24,5,,i62,54.24,54.24,54.24,54.24,,i62,150,,i21,.,b2,24.5349,11.705,24.5349,24.5349,,i62,51.66666667,51.66666667,51.66666667,,i8,.,j6,78.28571429,561.9428571,78.28571429,78.28571429,,i62,1,2,3,4,5,6,7,8,,i62,,,78.28571429,1,78.28571429,,i62,1630.571429
i63,155,,i63,900,,i63,0,,i63,415.567,124.01,415.567,415.567,,i63,70,55,55,55,,i63,80,78,78,78,,i63,16,3,16,3,,i63,24,5,24,5,,i63,54.24,54.24,54.24,54.24,,i63,0,,i21,.,b3,25.2502,12.022,25.2502,25.2502,,i63,51.66666667,51.66666667,51.66666667,,i8,.,j7,85.14285714,608.7714286,85.14285714,85.14285714,,i63,1,2,3,4,5,6,7,8,,i63,,,85.14285714,0,0,,i63,1630.571429
i64,350,,i64,900,,i64,0,,i64,303.787,136.04,303.787,303.787,,i64,140,70,140,70,,i64,140,120,140,120,,i64,5,5,5,5,,i64,8,8,8,8,,i64,140,70,140,70,,i64,0,,i22,.,b1,6.960789,8.0841,6.960789,6.960789,,i64,116.6666667,116.6666667,116.6666667,,i8,.,j8,92,655.6,92,92,,i64,1,2,3,4,5,6,7,8,,i64,,,92,0,0,,i64,10094.28571
i65,20,,i65,0,,i65,900,,i65,454.5222,124.35,454.5222,454.5222,,i65,90,30.5,30.5,30.5,,i65,100,70,70,70,,i65,1,1,1,1,,i65,2,1,2,1,,i65,8,4,4,4,,i65,20,,i22,.,b2,7.229889,8.4621,7.229889,7.229889,,i65,6.666666667,6.666666667,6.666666667,,i9,.,j1,60,283,60,60,,i65,1,2,3,4,5,6,7,8,,i65,,,60,0,0,,i65,40
i66,20,,i66,0,,i66,90,,i66,454.526,124.7,454.526,454.526,,i66,90,30.5,30.5,30.5,,i66,100,70,70,70,,i66,1,1,1,1,,i66,2,1,2,1,,i66,8,4,4,4,,i66,20,,i22,.,b3,7.498989,8.8501,7.498989,7.498989,,i66,6.666666667,6.666666667,6.666666667,,i9,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,i66,1,2,3,4,5,6,7,8,,i66,,,68.57142857,0,0,,i66,40
i67,76,,i67,0,,i67,789,,i67,263.4219,80.998,263.4219,263.4219,,i67,120,38.5,38.5,38.5,,i67,120,80,80,80,,i67,2,2,2,2,,i67,3,3,3,3,,i67,40,15.2,15.2,15.2,,i67,70,,i23,.,b1,6.970789,8.0881,6.970789,6.970789,,i67,25.33333333,25.33333333,25.33333333,,i9,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,i67,1,2,3,4,5,6,7,8,,i67,,,77.14285714,0,0,,i67,78.28571429
i68,76,,i68,456,,i68,0,,i68,263.4256,81.062,263.4256,263.4256,,i68,120,38.5,38.5,38.5,,i68,120,80,80,80,,i68,2,2,2,2,,i68,3,3,3,3,,i68,40,15.2,15.2,15.2,,i68,0,,i23,.,b2,7.239889,8.4781,7.239889,7.239889,,i68,25.33333333,25.33333333,25.33333333,,i9,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,i68,1,2,3,4,5,6,7,8,,i68,,,85.71428571,0,0,,i68,78.28571429
i69,20,,i69,375,,i69,0,,i69,454.5278,125.03,454.5278,454.5278,,i69,90,30.5,30.5,30.5,,i69,100,70,70,70,,i69,1,1,1,1,,i69,2,1,2,1,,i69,8,4,4,4,,i69,0,,i23,.,b3,7.508989,8.8681,7.508989,7.508989,,i69,6.666666667,6.666666667,6.666666667,,i9,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,i69,1,2,3,4,5,6,7,8,,i69,,,94.28571429,0,0,,i69,40
i70,20,,i70,375,,i70,0,,i70,454.5291,125.38,454.5291,454.5291,,i70,90,30.5,30.5,30.5,,i70,100,70,70,70,,i70,1,1,1,1,,i70,2,1,2,1,,i70,8,4,4,4,,i70,0,,i24,.,b1,28.313,22.4,28.313,28.313,,i70,6.666666667,6.666666667,6.666666667,,i9,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,i70,1,2,3,4,5,6,7,8,,i70,,,102.8571429,1,102.8571429,,i70,40
i71,76,,i71,170,,i71,0,,i71,263.427,81.152,263.427,263.427,,i71,120,38.5,38.5,38.5,,i71,120,80,80,80,,i71,2,2,2,2,,i71,3,3,3,3,,i71,40,15.2,15.2,15.2,,i71,0,,i24,.,b2,29.256,22.5,29.256,29.256,,i71,25.33333333,25.33333333,25.33333333,,i9,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,i71,1,2,3,4,5,6,7,8,,i71,,,111.4285714,0,0,,i71,78.28571429
i72,76,,i72,170,,i72,0,,i72,263.429,81.198,263.429,263.429,,i72,120,38.5,38.5,38.5,,i72,120,80,80,80,,i72,2,2,2,2,,i72,3,3,3,3,,i72,40,15.2,15.2,15.2,,i72,0,,i24,.,b3,30.498,22.6,30.498,30.498,,i72,25.33333333,25.33333333,25.33333333,,i9,.,j8,120,566,120,120,,i72,1,2,3,4,5,6,7,8,,i72,,,120,0,0,,i72,78.28571429
i73,100,,i73,0,,i73,170,,i73,306.62,222.72,306.62,306.62,,i73,420,51,51,51,,i73,420,74,74,74,,i73,2,2,2,2,,i73,4,4,4,4,,i73,40,25,25,25,,i73,100,,i25,.,b1,28.323,23.1,28.323,28.323,,i73,33.33333333,33.33333333,33.33333333,,i10,.,j1,60,283,60,60,,i73,1,2,3,4,5,6,7,8,,i73,,,60,0,0,,i73,102.8571429
i74,100,,i74,0,,i74,800,,i74,306.629,223.33,306.629,306.629,,i74,420,51,51,51,,i74,420,74,74,74,,i74,2,2,2,2,,i74,4,4,4,4,,i74,40,25,25,25,,i74,90,,i25,.,b2,29.266,23.2,29.266,29.266,,i74,33.33333333,33.33333333,33.33333333,,i10,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,i74,1,2,3,4,5,6,7,8,,i74,,,68.57142857,0,0,,i74,102.8571429
i75,100,,i75,0,,i75,2500,,i75,306.6155,223.98,306.6155,306.6155,,i75,420,51,51,51,,i75,420,74,74,74,,i75,2,2,2,2,,i75,4,4,4,4,,i75,40,25,25,25,,i75,80,,i25,.,b3,30.508,23.4,30.508,30.508,,i75,33.33333333,33.33333333,33.33333333,,i10,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,i75,1,2,3,4,5,6,7,8,,i75,,,77.14285714,0,0,,i75,102.8571429
i76,197,,i76,0,,i76,2500,,i76,482.82,253.55,482.82,482.82,,i76,310,55,70,55,,i76,310,99,99,99,,i76,3,4,3,4,,i76,4,5,4,5,,i76,104,55,69,55,,i76,177,,i26,.,b1,28.303,22.6,28.303,28.303,,i76,65.66666667,65.66666667,65.66666667,,i10,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,i76,1,2,3,4,5,6,7,8,,i76,,,85.71428571,0,0,,i76,195.7142857
i77,197,,i77,0,,i77,2500,,i77,482.8291,254.02,482.8291,482.8291,,i77,310,55,70,55,,i77,310,99,99,99,,i77,3,4,3,4,,i77,4,5,4,5,,i77,104,55,69,55,,i77,155,,i26,.,b2,29.246,22.7,29.246,29.246,,i77,65.66666667,65.66666667,65.66666667,,i10,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,i77,1,2,3,4,5,6,7,8,,i77,,,94.28571429,0,0,,i77,195.7142857
i78,197,,i78,2500,,i78,0,,i78,482.827,254.33,482.827,482.827,,i78,310,55,70,55,,i78,310,99,99,99,,i78,3,4,3,4,,i78,4,5,4,5,,i78,104,55,69,55,,i78,0,,i26,.,b3,30.488,22.8,30.488,30.488,,i78,65.66666667,65.66666667,65.66666667,,i10,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,i78,1,2,3,4,5,6,7,8,,i78,,,102.8571429,1,102.8571429,,i78,195.7142857
i79,12,,i79,0,,i79,1000,,i79,365.42,25.491,365.42,365.42,,i79,60,48,48,48,,i79,70,60,60,60,,i79,1,1,1,1,,i79,2,1,2,1,,i79,5.4,2.4,2.4,2.4,,i79,12,,i27,.,b1,28.333,25.1,28.333,28.333,,i79,4,4,4,,i10,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,i79,1,2,3,4,5,6,7,8,,i79,,,111.4285714,0,0,,i79,34.28571429
i80,12,,i80,0,,i80,203,,i80,365.4243,25.498,365.4243,365.4243,,i80,60,48,48,48,,i80,70,60,60,60,,i80,1,1,1,1,,i80,2,1,2,1,,i80,5.4,2.4,2.4,2.4,,i80,12,,i27,.,b2,29.276,25.3,29.276,29.276,,i80,4,4,4,,i10,.,j8,120,566,120,120,,i80,1,2,3,4,5,6,7,8,,i80,,,120,0,0,,i80,34.28571429
i81,12,,i81,0,,i81,600,,i81,365.4254,25.717,365.4254,365.4254,,i81,60,48,48,48,,i81,70,60,60,60,,i81,1,1,1,1,,i81,2,1,2,1,,i81,5.4,2.4,2.4,2.4,,i81,12,,i27,.,b3,30.518,25.6,30.518,30.518,,i81,4,4,4,,i11,.,j1,60,283,60,60,,i81,1,2,3,4,5,6,7,8,,i81,,,60,0,0,,i81,34.28571429
i82,12,,i82,46,,i82,0,,i82,365.427,25.842,365.427,365.427,,i82,60,48,48,48,,i82,70,60,60,60,,i82,1,1,1,1,,i82,2,1,2,1,,i82,5.4,2.4,2.4,2.4,,i82,0,,i28,.,b1,28.293,26.1,28.293,28.293,,i82,4,4,4,,i11,.,j2,68.57142857,323.4285714,68.57142857,68.57142857,,i82,1,2,3,4,5,6,7,8,,i82,,,68.57142857,0,0,,i82,34.28571429
i83,12,,i83,236,,i83,0,,i83,365.429,25.975,365.429,365.429,,i83,60,48,48,48,,i83,70,60,60,60,,i83,1,1,1,1,,i83,2,1,2,1,,i83,5.4,2.4,2.4,2.4,,i83,0,,i28,.,b2,29.236,26.2,29.236,29.236,,i83,4,4,4,,i11,.,j3,77.14285714,363.8571429,77.14285714,77.14285714,,i83,1,2,3,4,5,6,7,8,,i83,,,77.14285714,0,0,,i83,34.28571429
i84,155,,i84,0,,i84,236,,i84,415.5314,127.91,415.5314,415.5314,,i84,70,55,55,55,,i84,80,78,78,78,,i84,16,3,16,3,,i84,24,5,24,5,,i84,54.24,54.24,54.24,54.24,,i84,134,,i28,.,b3,30.478,26.4,30.478,30.478,,i84,51.66666667,51.66666667,51.66666667,,i11,.,j4,85.71428571,404.2857143,85.71428571,85.71428571,,i84,1,2,3,4,5,6,7,8,,i84,,,85.71428571,0,0,,i84,1630.571429
i85,155,,i85,0,,i85,64,,i85,415.52555,127.73,415.52555,415.52555,,i85,70,55,55,55,,i85,80,78,78,78,,i85,16,3,16,3,,i85,24,5,24,5,,i85,54.24,54.24,54.24,54.24,,i85,123,,i29,.,b1,28.3135,27,28.3135,28.3135,,i85,51.66666667,51.66666667,51.66666667,,i11,.,j5,94.28571429,444.7142857,94.28571429,94.28571429,,i85,1,2,3,4,5,6,7,8,,i85,,,94.28571429,0,0,,i85,1630.571429
i86,400,,i86,6,,i86,0,,i86,188.329,287.47,188.329,188.329,,i86,280,100,100,100,,i86,280,100,100,100,,i86,24,5,24,5,,i86,168,8,168,8,,i86,100,100,100,100,,i86,0,,i29,.,b2,29.2565,27.3,29.2565,29.2565,,i86,133.3333333,133.3333333,133.3333333,,i11,.,j6,102.8571429,485.1428571,102.8571429,102.8571429,,i86,1,2,3,4,5,6,7,8,,i86,,,102.8571429,1,102.8571429,,i86,38571.42857
i87,400,,i87,0,,i87,8,,i87,188.32,289.28,188.32,188.32,,i87,280,100,100,100,,i87,280,100,100,100,,i87,24,5,24,5,,i87,168,8,168,8,,i87,100,100,100,100,,i87,377,,i29,.,b3,30.4985,27.6,30.4985,30.4985,,i87,133.3333333,133.3333333,133.3333333,,i11,.,j7,111.4285714,525.5714286,111.4285714,111.4285714,,i87,1,2,3,4,5,6,7,8,,i87,,,111.4285714,0,0,,i87,38571.42857
i88,50,,i88,0,,i88,90,,i88,626.12,102.1,626.12,626.12,,i88,120,38.5,38.5,38.5,,i88,120,80,80,80,,i88,1,1,1,1,,i88,2,2,2,2,,i88,26,12,12,12,,i88,47,,i30,.,b1,23.7996,11.42,23.7996,23.7996,,i88,16.66666667,16.66666667,16.66666667,,i11,.,j8,120,566,120,120,,i88,1,2,3,4,5,6,7,8,,i88,,,120,0,0,,i88,51.42857143
i89,50,,i89,0,,i89,5,,i89,626.129,102.2,626.129,626.129,,i89,120,38.5,38.5,38.5,,i89,120,80,80,80,,i89,1,1,1,1,,i89,2,2,2,2,,i89,26,12,12,12,,i89,48,,i30,.,b2,24.5149,11.743,24.5149,24.5149,,i89,16.66666667,16.66666667,16.66666667,,i12,.,j1,110,387.5,110,110,,i89,1,2,3,4,5,6,7,8,,i89,,,110,0,0,,i89,51.42857143
i90,50,,i90,6,,i90,0,,i90,626.123,102.3,626.123,626.123,,i90,120,38.5,38.5,38.5,,i90,120,80,80,80,,i90,1,1,1,1,,i90,2,2,2,2,,i90,26,12,12,12,,i90,0,,i30,.,b3,25.2302,12.067,25.2302,25.2302,,i90,16.66666667,16.66666667,16.66666667,,i12,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,i90,1,2,3,4,5,6,7,8,,i90,,,127.1428571,0,0,,i90,51.42857143
i91,50,,i91,7,,i91,0,,i91,626.124,102.4,626.124,626.124,,i91,120,38.5,38.5,38.5,,i91,120,80,80,80,,i91,1,1,1,1,,i91,2,2,2,2,,i91,26,12,12,12,,i91,0,,i31,.,b1,23.8296,11.45,23.8296,23.8296,,i91,16.66666667,16.66666667,16.66666667,,i12,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,i91,1,2,3,4,5,6,7,8,,i91,,,144.2857143,0,0,,i91,51.42857143
i92,50,,i92,0,,i92,8,,i92,626.125,102.5,626.125,626.125,,i92,120,38.5,38.5,38.5,,i92,120,80,80,80,,i92,1,1,1,1,,i92,2,2,2,2,,i92,26,12,12,12,,i92,50,,i31,.,b2,24.5449,11.777,24.5449,24.5449,,i92,16.66666667,16.66666667,16.66666667,,i12,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,i92,1,2,3,4,5,6,7,8,,i92,,,161.4285714,0,0,,i92,51.42857143
i93,50,,i93,0,,i93,9,,i93,626.126,102.6,626.126,626.126,,i93,120,38.5,38.5,38.5,,i93,120,80,80,80,,i93,1,1,1,1,,i93,2,2,2,2,,i93,26,12,12,12,,i93,50,,i31,.,b3,25.2602,12.104,25.2602,25.2602,,i93,16.66666667,16.66666667,16.66666667,,i12,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,i93,1,2,3,4,5,6,7,8,,i93,,,178.5714286,0,0,,i93,51.42857143
i94,155,,i94,0,,i94,7,,i94,415.52,127.63,415.52,415.52,,i94,70,55,55,55,,i94,80,78,78,78,,i94,16,3,16,3,,i94,24,5,24,5,,i94,54.24,54.24,54.24,54.24,,i94,150,,i32,.,b1,26.2131,11.397,26.2131,26.2131,,i94,51.66666667,51.66666667,51.66666667,,i12,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,i94,1,2,3,4,5,6,7,8,,i94,,,195.7142857,1,195.7142857,,i94,1630.571429
i95,155,,i95,66,,i95,0,,i95,415.526,127.62,415.526,415.526,,i95,70,55,55,55,,i95,80,78,78,78,,i95,16,3,16,3,,i95,24,5,24,5,,i95,54.24,54.24,54.24,54.24,,i95,0,,i32,.,b2,26.7076,11.612,26.7076,26.7076,,i95,51.66666667,51.66666667,51.66666667,,i12,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,i95,1,2,3,4,5,6,7,8,,i95,,,212.8571429,0,0,,i95,1630.571429
i96,350,,i96,55,,i96,0,,i96,303.72,140,303.72,303.72,,i96,140,70,140,70,,i96,140,120,140,120,,i96,5,5,5,5,,i96,8,8,8,8,,i96,140,70,140,70,,i96,0,,i32,.,b3,27.1998,11.826,27.1998,27.1998,,i96,116.6666667,116.6666667,116.6666667,,i12,.,j8,230,775,230,230,,i96,1,2,3,4,5,6,7,8,,i96,,,230,0,0,,i96,10094.28571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i33,.,b1,29.067,38.842,29.067,29.067,,,,,,,i13,.,j1,110,387.5,110,110,,,,,,,,,,,,,,,110,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i33,.,b2,29.343,38.974,29.343,29.343,,,,,,,i13,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,,,,,,,,,,,,,,127.1428571,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i33,.,b3,29.803,39.106,29.803,29.803,,,,,,,i13,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,,,,,,,,,,,,,,144.2857143,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i34,.,b1,29.057,38.967,29.057,29.057,,,,,,,i13,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,,,,,,,,,,,,,,161.4285714,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i34,.,b2,29.333,39.106,29.333,29.333,,,,,,,i13,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,,,,,,,,,,,,,,178.5714286,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i34,.,b3,29.793,39.244,29.793,29.793,,,,,,,i13,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,,,,,,,,,,,,,,195.7142857,1,195.7142857,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i35,.,b1,18.523,14.184,18.523,18.523,,,,,,,i13,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,,,,,,,,,,,,,,212.8571429,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i35,.,b2,19.328,14.55,19.328,19.328,,,,,,,i13,.,j8,230,775,230,230,,,,,,,,,,,,,,,230,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i35,.,b3,20.202,14.915,20.202,20.202,,,,,,,i14,.,j1,110,387.5,110,110,,,,,,,,,,,,,,,110,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i36,.,b1,18.533,14.222,18.533,18.533,,,,,,,i14,.,j2,127.1428571,442.8571429,127.1428571,127.1428571,,,,,,,,,,,,,,,127.1428571,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i36,.,b2,19.338,14.595,19.338,19.338,,,,,,,i14,.,j3,144.2857143,498.2142857,144.2857143,144.2857143,,,,,,,,,,,,,,,144.2857143,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i36,.,b3,20.212,14.969,20.212,20.212,,,,,,,i14,.,j4,161.4285714,553.5714286,161.4285714,161.4285714,,,,,,,,,,,,,,,161.4285714,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i37,.,b1,29.047,39.097,29.047,29.047,,,,,,,i14,.,j5,178.5714286,608.9285714,178.5714286,178.5714286,,,,,,,,,,,,,,,178.5714286,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i37,.,b2,29.323,39.246,29.323,29.323,,,,,,,i14,.,j6,195.7142857,664.2857143,195.7142857,195.7142857,,,,,,,,,,,,,,,195.7142857,1,195.7142857,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i37,.,b3,29.783,39.396,29.783,29.783,,,,,,,i14,.,j7,212.8571429,719.6428571,212.8571429,212.8571429,,,,,,,,,,,,,,,212.8571429,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i38,.,b1,29.037,39.223,29.037,29.037,,,,,,,i14,.,j8,230,775,230,230,,,,,,,,,,,,,,,230,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i38,.,b2,29.313,39.281,29.313,29.313,,,,,,,i15,.,j1,20,34,20,20,,,,,,,,,,,,,,,20,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i38,.,b3,29.773,39.538,29.773,29.773,,,,,,,i15,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,22.85714286,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i39,.,b1,18.513,14.257,18.513,18.513,,,,,,,i15,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,25.71428571,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i39,.,b2,19.318,14.637,19.318,19.318,,,,,,,i15,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,28.57142857,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i39,.,b3,20.192,15.017,20.192,20.192,,,,,,,i15,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,31.42857143,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i40,.,b1,18.503,14.296,18.503,18.503,,,,,,,i15,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,34.28571429,1,34.28571429,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i40,.,b2,19.308,14.685,19.308,19.308,,,,,,,i15,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,37.14285714,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i40,.,b3,20.182,15.074,20.182,20.182,,,,,,,i15,.,j8,40,68,40,40,,,,,,,,,,,,,,,40,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i41,.,b1,17.6904,19.021,17.6904,17.6904,,,,,,,i16,.,j1,20,34,20,20,,,,,,,,,,,,,,,20,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i41,.,b2,18.3804,19.342,18.3804,18.3804,,,,,,,i16,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,22.85714286,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i41,.,b3,19.0658,19.663,19.0658,19.0658,,,,,,,i16,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,25.71428571,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i42,.,b1,17.7004,19.116,17.7004,17.7004,,,,,,,i16,.,j4,28.57142857,48.57142857,28.57142857,28.57142857,,,,,,,,,,,,,,,28.57142857,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i42,.,b2,18.3904,19.431,18.3904,18.3904,,,,,,,i16,.,j5,31.42857143,53.42857143,31.42857143,31.42857143,,,,,,,,,,,,,,,31.42857143,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i42,.,b3,19.0758,19.746,19.0758,19.0758,,,,,,,i16,.,j6,34.28571429,58.28571429,34.28571429,34.28571429,,,,,,,,,,,,,,,34.28571429,1,34.28571429,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i43,.,b1,17.6804,19.208,17.6804,17.6804,,,,,,,i16,.,j7,37.14285714,63.14285714,37.14285714,37.14285714,,,,,,,,,,,,,,,37.14285714,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i43,.,b2,18.3704,19.516,18.3704,18.3704,,,,,,,i16,.,j8,40,68,40,40,,,,,,,,,,,,,,,40,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i43,.,b3,19.0558,19.824,19.0558,19.0558,,,,,,,i17,.,j1,20,34,20,20,,,,,,,,,,,,,,,20,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i44,.,b1,17.2925,24.172,17.2925,17.2925,,,,,,,i17,.,j2,22.85714286,38.85714286,22.85714286,22.85714286,,,,,,,,,,,,,,,22.85714286,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i44,.,b2,17.8077,24.399,17.8077,17.8077,,,,,,,i17,.,j3,25.71428571,43.71428571,25.71428571,25.71428571,,,,,,,,,,,,,,,25.71428571,0,0,,,
